ID	Label	log2FC	SE	pvalue	adj.pvalue	baseMean
SCO0037	mu_wt24	0.0817084654209504	0.156999345386175	0.35590027103656	0.675579388814195	98.7845732863968
SCO0038	mu_wt24	0.121774181724377	0.189594326491234	0.177234179338471	0.477535012637077	70.2281183723501
SCO0039	mu_wt24	0.0867827653451471	0.191172822834322	0.175966367497136	0.476250491144684	19.4962284914092
SCO0040	mu_wt24	-0.0298090092291225	0.170727147915118	0.542401592013256	0.806156478122285	15.0673695679909
SCO0041	mu_wt24	0.0056410090184569	0.173627971790041	0.798398476088959		5.70196049014087
SCO0042	mu_wt24	0.0140899563092123	0.165344773037974	0.800693129298848	0.937081199968514	35.9899551671677
SCO0043	mu_wt24	0.103527314550429	0.171149340803779	0.241464017825011	0.564026956247795	280.613756576991
SCO0044	mu_wt24	0.0605314706472731	0.186022431384547	0.122999602044207		7.04192364957087
SCO0045	mu_wt24	-0.0082707260010641	0.175160330453351	0.579850544307346		0.427579264602494
SCO0046	mu_wt24	-0.0661219794487214	0.162940341113753	0.410210301099835	0.7198415975109	35.6464609607017
SCO0047	mu_wt24	-0.209811876628396	0.153815575914413	0.0515276434338422	0.233917132392353	166.286678892282
SCO0048	mu_wt24	0.014076944471763	0.172413553486341	0.678770725843842		8.93998409777814
SCO0049	mu_wt24	-0.0150793260700933	0.171362471177285	0.701086059083427	0.893323801648605	14.3732707300726
SCO0050	mu_wt24	-0.059411119398154	0.183309370952794	0.194720442236592		8.83809512173118
SCO0055	mu_wt24	0.223748509806316	0.125061152521693	0.0230853335677568	0.138287326627292	261.829164144449
SCO0056	mu_wt24	0.0273181742227979	0.177087572875257	0.163686205772597		1.77605713850606
SCO0057	mu_wt24	0.0074137821987656	0.146093875124798	0.927644293801093	0.980526541050791	37.9276625276252
SCO0058	mu_wt24	0.0188609325161368	0.0991062437279616	0.810853321089137	0.940595385705321	264.206107864515
SCO0059	mu_wt24	-0.0943136702349053	0.146361200476858	0.313711737588668	0.63842348080303	92.0122049512186
SCO0060	mu_wt24	0.436201398103624	0.675257792389313	0.01377929683648	0.0972981705872287	21.1866127361899
SCO0061	mu_wt24	0.188785519440477	0.149979238607935	0.071799264090982	0.283295081607718	186.024307158709
SCO0062	mu_wt24	0.0423939649842337	0.109250522985883	0.621808303882635	0.85216642855408	265.367660059383
SCO0063	mu_wt24	0.145537350493672	0.127181761689629	0.126393873034039	0.396241573102467	150.471735271592
SCO0064	mu_wt24	0.0834295099570349	0.175318417454103	0.28869513341666	0.613082879647916	30.8433322517301
SCO0065	mu_wt24	-0.0706563272873882	0.179180426384337	0.283029514605445	0.606823018482281	16.2666921678766
SCO0066	mu_wt24	0.0721483212891364	0.172246511354727	0.337599317815557	0.657689166505769	24.8010629530297
SCO0067	mu_wt24	0.0955729642874704	0.193899598315553	0.169339108012977	0.46561821090023	15.6982279228745
SCO0068	mu_wt24	-0.0257428470305137	0.172026320403158	0.550877277640691		9.90089330798348
SCO0069	mu_wt24	-0.149895865637766	0.210928646756942	0.117101176134008	0.376984871302161	53.688240641615
SCO0070	mu_wt24	0.0225752779755267	0.171661611386232	0.591392052171814		10.2802007939797
SCO0071	mu_wt24	0.0040410137412132	0.173006216587027	0.879647182360097		3.07408881997058
SCO0072	mu_wt24	0.0956759151377631	0.124835562047226	0.297710357712397	0.62432955765581	197.86717652941
SCO0073	mu_wt24	0.0094150137001142	0.17296594736994	0.742422584107086		3.16704835274201
SCO0074	mu_wt24	0.0050853620572956	0.175045021537115	0.709138012773055		0.307692630875285
SCO0075	mu_wt24	0.0912204024557511	0.179760005888121	0.255202893358952	0.579822879290403	29.9627048282241
SCO0079	mu_wt24	0.0120452302724305	0.134697608056642	0.889246810206866	0.968521580356052	104.105748221727
SCO0080	mu_wt24	0.123525482625484	0.178298374538658	0.191534855414581	0.497950173210875	66.1562833685611
SCO0083	mu_wt24	-0.0408686910569961	0.169100494968599	0.498024435079151	0.782234155235721	19.6359614401068
SCO0084	mu_wt24	0.009304109006625	0.156051895158242	0.900635648916457	0.972595405461888	32.7973445939357
SCO0085	mu_wt24	0.109385330195253	0.204259054810799	0.129203965949758	0.402149385800638	16.2483689140778
SCO0086	mu_wt24	0.0506312305093071	0.146155627419304	0.561265880883707	0.816972111604349	58.10048330871
SCO0087	mu_wt24	0.506853050852077	0.321576184471923	0.0064029821419231	0.0560336802135596	44.2264237105788
SCO0088	mu_wt24	0.0685276304516697	0.16303865307048	0.400089893012037	0.714523108722501	34.5113185522483
SCO0089	mu_wt24	0.28676514303092	0.125941263031939	0.0050501139233626	0.0468594741682868	219.771011178539
SCO0090	mu_wt24	0.100890305121298	0.203522143416118	0.112004100501161		11.1378480237733
SCO0091	mu_wt24	0.0583538855616707	0.0991034700769384	0.476742548676019	0.767856308198719	285.908258109418
SCO0095	mu_wt24	0.0595230071378235	0.181570552545254	0.236557974356231		8.75646580197523
SCO0096	mu_wt24	0.0046153297655375	0.125013686069095	0.950319651664841	0.988394895986977	82.9095679013655
SCO0097	mu_wt24	-0.0256242311729582	0.132117615887823	0.768299315240607	0.922108992909835	88.7467337698695
SCO0098	mu_wt24	-0.0634366688215275	0.141693283028197	0.471029755535983	0.764285099821787	58.1494618646193
SCO0101	mu_wt24	-0.0542844105309271	0.143983977617914	0.537328346297952	0.80468515120776	58.5052424046827
SCO0102	mu_wt24	-0.194030290970925	0.210974972028031	0.080621061028642	0.302811700874167	57.2625496257838
SCO0103	mu_wt24	-0.012371413437295	0.125395237859008	0.887244640615852	0.968486362884861	113.883832856946
SCO0104	mu_wt24	0.10835960093096	0.162529389438171	0.239459249975261	0.561361159931273	53.4006968889695
SCO0105	mu_wt24	-0.206470092338213	0.183522301018407	0.0666773675954111	0.273447549727766	106.232164222322
SCO0106	mu_wt24	0.296346340082394	0.196666167265497	0.0201815279261435	0.127184953295645	107.454810942855
SCO0107	mu_wt24	0.208044060813129	0.140080761139854	0.0442475134790901	0.212353563714463	286.570644257697
SCO0108	mu_wt24	-0.001430815289763	0.173611827600666	0.950969650591713		3.13871500920917
SCO0109	mu_wt24	0.100579076985505	0.187129532387126	0.20676722625312	0.521222775803941	22.5184504868081
SCO0110	mu_wt24	0.0050979889552232	0.114295886337443	0.95508924790144	0.988586328681586	156.445787759279
SCO0111	mu_wt24	-0.0113601118567045	0.168895886286928	0.811312246894561		9.41781180504303
SCO0112	mu_wt24	-0.043835001100196	0.181330527421648	0.0963453249919446		2.22620594648959
SCO0116	mu_wt24	0.0427426956306501	0.133616352489276	0.627770258021555	0.855797549971799	86.239830810496
SCO0117	mu_wt24	0.112857279354797	0.20647455019281	0.12303428506041	0.390516213775758	19.1842143188394
SCO0118	mu_wt24	0.567226141841264	0.0854158832801264	3.05919946317651e-12	2.53879182415974e-10	742.964873054087
SCO0119	mu_wt24	0.044899963024754	0.100782579667957	0.589563212025166	0.834837784512629	685.633590862928
SCO0120	mu_wt24	-0.0256396269964159	0.109417663838693	0.763585725177195	0.920422403638381	211.442354914159
SCO0121	mu_wt24	-0.0378117659902981	0.121517456804882	0.667887881574548	0.875425003249266	261.611247339905
SCO0122	mu_wt24	-0.11823740689387	0.125101286294315	0.204079896411705	0.517095751251064	202.670678193761
SCO0123	mu_wt24	-0.198346685105974	0.165738310138463	0.0687120306467499	0.277533560049769	164.365234680638
SCO0124	mu_wt24	0.0658533091908533	0.115998404127843	0.453078135976089	0.752473401048826	589.775287888649
SCO0125	mu_wt24	0.0126791681228839	0.119841320254785	0.885972891989827	0.968486362884861	322.187639634732
