""	"D24_1"	"D24_2"	"D24_3"	"C24_1"	"C24_2"	"C24_3"	"D45_1"	"D45_2"	"D45_3"	"C45_1"	"C45_2"	"C45_3"
"SCO0029"	6.66043943324375	6.87861651621777	6.77578515872407	6.87050390501296	6.84714610246029	6.83585564433907	6.88689303886898	6.89755137938437	6.94672397359555	6.70412851384864	6.92147671453253	6.79430714585324
"SCO0030"	6.92426022860488	6.72212013194534	6.81713319758144	6.77739844074747	6.62372455989661	6.83585564433907	7.29627168154693	6.89755137938437	7.08322233778196	6.78543433850639	6.72470566310595	6.79430714585324
"SCO0031"	7.02403530891431	7.01767715715828	6.97851330039218	6.96990420707694	6.84714610246029	6.98386011658311	7.51346010605241	7.52702285499407	7.47811806931074	7.04722231793464	6.94339144277017	6.79430714585324
"SCO0033"	6.75824098974302	6.96653061852154	6.97851330039218	6.81099077988861	6.8230711865949	6.96213036831563	7.26649265972775	7.30635827382336	7.15953599199947	6.74738461442605	6.98455434257528	6.9991701237375
"SCO0034"	6.66043943324375	6.4234206960654	6.77578515872407	6.58204183138879	6.56511374893089	6.4234206960654	7.01267380301504	6.85263595463039	6.91094168849784	6.58565770091736	6.57426834626731	6.56393339587259
"SCO0035"	6.59111238278648	6.76812494976429	6.72876608319285	6.77739844074747	6.66864360199165	6.57976131828887	6.88689303886898	6.93843876012046	6.87219998133295	6.74738461442605	6.79208491677736	6.73712247649639
"SCO0036"	7.00078810838365	6.76812494976429	6.88869554905993	6.94689614885897	7.003946464849	6.89062782723829	7.16923239080884	7.06043207126004	7.14741872205018	7.06735224629641	7.2522425385013	6.9991701237375
"SCO0037"	7.48657856498777	7.42524636574118	7.46065911960538	7.39598738465282	7.29531951178738	7.4617383511079	8.34111600564999	8.44195065901863	8.24907786031257	7.98538463259223	8.23964291126509	8.1188213011628
"SCO0038"	7.51048831598643	7.49150575446375	7.22254217895737	7.28002370731075	7.33756789179214	7.26803878900066	7.65019412411369	7.9890352540839	8.02574329773213	7.92806878721796	7.94855371216726	8.02142027096879
"SCO0039"	7.31282507977684	6.9389604733001	7.03075735730579	6.92278095661413	7.08253986157967	6.9156639269242	7.28152624216747	7.04455020750162	7.183142463609	7.15927337612092	7.15489669029793	7.07713730300753
