Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO1726	111.3355930179459	89.70386326832288	84.17097374194752	52.407711748963315
SCO1727	46.42221689460289	39.534583140420146	31.860991897846848	31.781637066000954
SCO1728	32.91770199124904	24.746308880789456	24.06936026863751	25.490801367178978
SCO1729	71.30145318342149	38.10593673842315	51.316082859319756	25.821907876489337
SCO1730	43.57223215751244	36.05740891833808	42.48510213075499	24.618027462094755
SCO1731	54.43984521110235	68.09247950920977	47.25655026740149	32.21336083151505
SCO1732	57.65679111110376	361.2241562222558	51.28851104809123	112.02391423433652
SCO1733	33.834250571599064	140.89344907573118	30.8348901564307	39.54609891000846
SCO1734	15.222246481446824	33.493662491448816	17.002600363887815	24.863254539675484
SCO1735	1.9449563675932995	4.29285806830926	1.7541704931499702	3.2681804977658078
SCO1736	6.045010323741362	5.25764030344267	5.078918803393983	5.166973469115116
SCO1737	5.338762541661715	18.577357535270007	4.610686281476096	7.728513901094606
SCO1738	2.7204056023843184	10.499916278248756	2.831613256612728	5.422484366736637
SCO1739	1.2106049117904296	5.2600375459164646	1.3039536769660869	3.5540017312247634
SCO1740	0.8128424904496244	183.97799581888717	0.9030747433044293	162.85339649279362
SCO1741	1.36117580945718	12.701505839168249	2.197837115223248	11.911986436602712
SCO1742	10.07195473372812	6.16708016551355	9.448397388771703	5.399365521086463
SCO1743	7.477003927674146	5.585008324616584	6.958021139259767	3.960996071406484
SCO1744	10.748282710595191	6.334117921450865	9.685746100894077	6.526971431631814
SCO1745	13.602446683106288	10.835375872534863	15.02438294805148	11.17097839757057
SCO1746	32.45813415755539	18.7815264327857	40.8211838427223	52.42480303641872
SCO1747	43.77238224076867	29.05467051378699	42.11955165466107	31.027377839293056
SCO1748	41.704264268413006	19.758835011955753	36.3076569569107	18.854603449211705
SCO1749	187.77333492195802	511.61761244081146	109.6890571758269	489.45909099062754
SCO1750	14.333451513409338	72.03892525679876	15.385953567644327	64.53667143647552
SCO1751	30.52427470291372	23.519161595303654	25.72370299805233	20.367905991427577
SCO1752	35.17429653559625	27.938184886639657	28.71248523847107	15.139913640483142
SCO1753	132.97830760348518	134.9650828480556	111.06003634482197	126.54997500334137
SCO1754	107.34429992335562	137.28200556778472	85.92956538312494	127.53425718036122
SCO1755	55.50713891979152	25.936252680013137	52.22658121708833	24.999647038903706
SCO1756	397.35875807037377	395.4760120811657	467.3444440728792	394.7234718996834
SCO1757	336.0363448625869	277.5205414796845	328.37769107560484	292.0138542539243
SCO1758	170.57492193199602	167.97873245511946	131.8239602570404	87.1136093873721
SCO1759	90.48934998833222	59.01403880067746	85.5382322740187	60.831208060522215
SCO1760	179.3479228547413	105.62197198518606	180.39124858329214	102.42098321374594
SCO1761	41.957516374340685	32.83737170450484	41.343131010714764	32.147763822897
SCO1762	63.013469129704085	59.6877311111059	70.09846602266906	62.76077223006812
SCO1763	7.919782844733031	36.75737136798009	8.380829431098297	39.333026281690046
SCO1764	51.590505269366304	30.984882643955526	45.54654560132457	29.38943429151875
SCO1765	184.14077030092426	58.02432580167382	177.51741610296904	73.57025415430122
SCO1766	328.16287980128067	105.8413074677578	330.59900921909474	156.92131275442722
SCO1767	366.57330971243863	134.73726754960776	373.4792700035637	169.52236497603278
SCO1768	118.64940975152473	87.61848622995119	113.34201974655684	100.74573518437633
SCO1769	43.6719034836349	40.04572506569663	40.05415090623066	46.10332784399805
SCO1770	25.687716210157348	24.766862781950167	24.684586321629723	26.764391028013296
SCO1771	321.49592398690424	154.18267545281026	334.78076705464605	203.93544188423337
SCO1772	565.2867764793742	268.8787385635828	568.4919828673325	329.00696478911885
SCO1773	14.298036095961761	61.726306230587795	14.690926242591521	55.422101031750195
SCO1774	24.741460302825043	148.927816126405	27.796853345118496	181.6809270733734
SCO1775	115.43210950543693	77.62514719270352	123.5300379578144	100.75575337199207
SCO1776	60.810618799177014	55.07683249048336	63.88928794369752	55.71940297630732
SCO1777	190.4965808568729	106.23299170664257	188.63806058456714	112.03121254325549
SCO1778	22.08375720183115	13.38509622618318	21.5207624345591	15.707085407397292
SCO1779	59.853264872607134	32.07323636748199	56.132156130873824	37.860758471377586
SCO1780	169.2551399676306	109.66958007438791	180.10962543912447	129.59182065616076
SCO1781	234.0535415943901	45.30470271884093	200.34402448378123	53.14045581416067
SCO1782	131.781052525044	40.28292413846245	118.77830441024851	45.04081591030836
SCO1783	75.5350365237041	53.045898136474754	77.07755728018607	62.276034023182
SCO1784	47.821838401634785	29.675422757619447	44.014974945264385	33.36871190492352
SCO1785	33.58212460909382	36.87127505757507	28.59341686948753	43.252709076417176
SCO1786	22.499437841214245	29.52301474222358	19.202179984820717	31.5735954188879
SCO1787	56.809504151085264	76.32222215766187	42.38101027679286	65.93148749048082
SCO1788	30.12931005051645	45.71145497990123	33.12240919659725	37.58251661317008
SCO1789	19.102000294864855	15.658731288948728	18.36646604659224	15.234733688362383
SCO1790	47.252812013349434	67.13907491452194	54.26557948213529	57.02099222869046
SCO1791	75.91952539023775	111.8544081365787	88.99030968519446	89.92406458811276
SCO1792	18.482988837519486	18.328667252113576	13.176809377945936	11.708831620261877
SCO1793	111.0389914421721	69.63154769791221	151.88621320807908	87.4064940052837
