	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0073	6.660830206387943	6.743413916788593	6.635803477973957	6.7255813453790525
SCO0074	6.480973805326523	6.487417662186747	6.4234206960654	6.473703246132703
SCO0075	7.344850534119234	7.190726432479283	7.231183618387694	7.2633048325969005
SCO0079	7.754462569334954	8.036593631298388	7.742268271619683	8.161589450037043
SCO0080	7.497606477049923	8.053041673925957	7.382686433796681	7.52507251216646
SCO0083	6.933374003878747	7.290708139663191	6.989409339538233	7.13643836797669
SCO0084	7.239782017103297	7.3776769761848024	7.242090541462457	7.316392998892698
SCO0085	7.114768128718673	7.04650813092288	6.975718365150377	7.02451257431997
SCO0086	7.6280032634392265	7.511764077580234	7.58061607436003	7.581734669619197
SCO0087	7.694176087801286	7.3281788650521795	7.417102598582299	7.226558699983326
SCO0088	7.435440025391831	7.300210625309243	7.35726838410596	7.163754165211267
SCO0089	8.82098289096713	8.291693991580871	8.587813551630225	8.380683115832873
SCO0090	7.046143539322877	6.863069106410866	6.908508701274546	6.904899101746673
SCO0091	8.810110543717236	8.698468853147316	8.750753034268383	8.867812509786823
SCO0095	6.918920058084978	6.871535290849093	6.817578006791767	6.890884556733536
SCO0096	7.970200039093459	7.525840858131123	7.96711670922429	7.6150665032742095
SCO0097	7.956286306511832	7.59829866652525	7.980479172733187	7.7418450671778425
SCO0098	7.714825536751714	7.387840590013803	7.779571131822951	7.357607523869263
SCO0101	7.69043393211357	7.369692784121553	7.748169944278577	7.463974219738417
SCO0102	7.413503475531377	7.359508053046174	7.561764240181876	7.8622502546720066
SCO0103	7.98231066856908	7.66661044892122	7.9954173556221475	8.28394186670039
SCO0104	7.644888271248647	7.476103822586553	7.542434975543517	7.454479765701737
SCO0105	7.65894191790307	7.8422771476347	7.815084528295124	8.366659868156294
SCO0106	8.159221023015197	7.929703423249914	7.933258143533273	7.788933925141141
SCO0107	8.873146345544413	9.071799112141102	8.670530459005995	8.43451995503316
SCO0108	6.563601443051533	6.775698109976453	6.571821553557833	6.726098841925281
SCO0109	7.224449646783543	7.15561353724821	7.115454950196674	7.110554152676556
SCO0110	8.164231988906641	8.242734329133244	8.156524327925235	8.40498089809657
