Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0222	3	3	3	3
SCO0223	3	3	3	3
SCO0224	3	3	3	3
SCO0225	3	3	3	3
SCO0226	3	3	3	3
SCO0227	3	3	3	3
SCO0228	3	3	3	3
SCO0229	3	3	3	3
SCO0230	3	3	3	3
SCO0231	3	3	3	3
SCO0232	3	3	3	3
SCO0233	3	3	3	3
SCO0234	3	3	3	3
SCO0235	3	3	3	3
SCO0236	3	3	3	3
SCO0237	3	3	3	3
SCO0238	3	3	3	3
SCO0239	3	3	3	3
SCO0240	3	3	3	3
SCO0241	3	3	3	3
SCO0242	3	3	3	3
SCO0243	3	3	3	3
SCO0244	3	3	3	3
SCO0245	3	3	3	3
SCO0246	3	3	3	3
SCO0247	3	3	3	3
SCO0248	3	3	3	3
SCO0249	3	3	3	3
SCO0250	3	3	3	3
SCO0251	3	3	3	3
SCO0252	3	3	3	3
SCO0253	3	3	3	3
SCO0254	3	3	3	3
SCO0255	3	3	3	3
SCO0256	3	3	3	3
SCO0257	3	3	3	3
SCO0258	3	3	3	3
SCO0259	3	3	3	3
SCO0260	3	3	3	3
SCO0261	3	3	3	3
SCO0262	3	3	3	3
SCO0263	3	3	3	3
SCO0264	3	3	3	3
SCO0265	3	3	3	3
SCO0266	3	3	3	3
SCO0267	3	3	3	3
SCO0268	3	3	3	3
SCO0269	3	3	3	3
SCO0270	3	3	3	3
SCO0271	3	3	3	3
SCO0272	3	3	3	3
SCO0273	3	3	3	3
SCO0274	3	3	3	3
SCO0275	3	3	3	3
SCO0276	3	3	3	3
SCO0277	3	3	3	3
SCO0278	3	3	3	3
SCO0279	3	3	3	3
SCO0280	3	3	3	3
SCO0281	3	3	3	3
SCO0282	3	3	3	3
SCO0283	3	3	3	3
SCO0284	3	3	3	3
SCO0285	3	3	3	3
SCO0286	3	3	3	3
SCO0287	3	3	3	3
SCO0288	3	3	3	3
SCO0289	3	3	3	3
SCO0290	3	3	3	3
SCO0291	3	3	3	3
SCO0292	3	3	3	3
SCO0293	3	3	3	3
SCO0294	3	3	3	3
SCO0295	3	3	3	3
SCO0296	3	3	3	3
SCO0297	3	3	3	3
SCO0298	3	3	3	3
SCO0299	3	3	3	3
SCO0300	3	3	3	3
SCO0301	3	3	3	3
SCO0302	3	3	3	3
SCO0303	3	3	3	3
SCO0304	3	3	3	3
SCO0305	3	3	3	3
SCO0307	3	3	3	3
SCO0308	3	3	3	3
SCO0309	3	3	3	3
SCO0310	3	3	3	3
SCO0311	3	3	3	3
SCO0312	3	3	3	3
SCO0313	3	3	3	3
SCO0314	3	3	3	3
SCO0315	3	3	3	3
SCO0316	3	3	3	3
SCO0317	3	3	3	3
SCO0318	3	3	3	3
SCO0319	3	3	3	3
SCO0320	3	3	3	3
SCO0321	3	3	3	3
SCO0322	3	3	3	3
SCO0323	3	3	3	3
SCO0324	3	3	3	3
SCO0325	3	3	3	3
SCO0326	3	3	3	3
SCO0329	3	3	3	3
SCO0330	3	3	3	3
SCO0331	3	3	3	3
SCO0332	3	3	3	3
SCO0333	3	3	3	3
SCO0334	3	3	3	3
SCO0335	3	3	3	3
SCO0336	3	3	3	3
SCO0337	3	3	3	3
SCO0338	3	3	3	3
SCO0339	3	3	3	3
SCO0340	3	3	3	3
SCO0341	3	3	3	3
SCO0342	3	3	3	3
SCO0343	3	3	3	3
SCO0344	3	3	3	3
SCO0345	3	3	3	3
SCO0346	3	3	3	3
SCO0347	3	3	3	3
SCO0348	3	3	3	3
SCO0349	3	3	3	3
SCO0350	3	3	3	3
SCO0351	3	3	3	3
SCO0352	3	3	3	3
SCO0353	3	3	3	3
SCO0354	3	3	3	3
SCO0355	3	3	3	3
SCO0356	3	3	3	3
SCO0357	3	3	3	3
SCO0358	3	3	3	3
SCO0359	3	3	3	3
SCO0360	3	3	3	3
