Geneid	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0001	0.9197034116540386	1.499534207540135	0.5680038066096125	0.8026711214352333
SCO0002	0.223778025891795	0.4619881626423823	0.7173697814922225	0.2819550556516074
SCO0003	0.05883197173271929	0.20355751010571868	0.33267863686050647	0.3353144371097482
SCO0004	0.5390786040018037	2.2074528543607292	3.645061876243243	0.7314667490746125
SCO0005	0.8498052204690357	0.693523809072934	2.9168104599386737	0.29278122306021825
SCO0006	0.15377140958852395	0.21423814153764623	0.7509258109022596	0.37640007377563584
SCO0007	0.3358218035628576	0.13174255770978988	0.04679866239360292	0.347841498253497
SCO0008	0.14060907845144757	0.8252867434654253	0.42436419684925336	0.11623117773540975
SCO0009	0.4301011764691464	0.5467361119422471	0.2806411609575804	0.3229911383055613
SCO0010	0.4054265634254589	0.8658959577037963	1.3435051528079156	0.21442053298511657
SCO0011	0.40435338883889516	0.2440956297397643	0.9617091388933495	0.31493294663166443
SCO0012	2.426578564867734	0.41005629437595964	0.36032174841733067	0.08179859571486674
SCO0013	0.3480863639841257	0.395322775356633	0.5494209034020122	0.17753327566269958
SCO0014	1.1963238125864792	0.9138321639674359	1.2175962068784703	0.32986099466755564
SCO0015	0.03716049657390931	0.08565878420868159	0.0339224687919317	0.06315808263643578
SCO0016	0.7742586024001755	0.19265142777035482	0.6398482438373289	0.31508807941746386
SCO0017	0.3720356728201844	0.6483834891366317	0.7528201981223656	1.1622419311569667
SCO0018	1.1737269841137403	0.6993028054469326	0.623698216186923	1.0459110267039717
SCO0019	3.1858390474815286	1.5516229057081266	1.1387599308564718	0.9995912837893718
SCO0020	0.20175150414832171	0.3474909761534931	0.2019896286968258	0.12497126293499874
SCO0021	0.33889260347499445	0.833584088184831	0.8065774272367189	1.0378413304956493
SCO0022	0.02823183159689408	0.5149366523179618	0.4040621042039148	0.3826577090150731
SCO0025	0.37729287020873614	0.2967737733856069	0.25574049472585564	0.270773531289687
SCO0026	0.6203933466324704	1.4400765721063509	2.1760988250529616	0.8517346104266685
SCO0027	1.3081972198216087	0.9705121892895959	0.0439263150893918	0.6318570052948453
SCO0028	0.9595207487676121	1.6600869034213799	1.065678168097668	0.9216635119397593
SCO0029	0.6120164291169424	0.249381107063835	0.1250603518097543	0.6687373663740815
SCO0030	0.31688414650070507	1.1137545543721297	0.2570134854038319	0.0881204760033477
SCO0031	0.1269126324628963	0.29147971170383913	0.3365328729715763	0.5340153235813012
SCO0033	0.11922447148160743	0.14231212381758057	0.08530015071387803	0.12883760605363337
SCO0034	0.31260222534289483	0.43684069744282994	0.0658617622368269	0.015774348169784777
SCO0035	0.25105044386029846	0.18709740962845445	0.27292566327963547	0.10843179572176391
SCO0036	1.0885397942906547	0.8412861810511132	0.5775009660481992	1.880811704377934
SCO0037	0.21522510922382834	1.6263732780840492	0.5637542963581401	1.6870132541915333
SCO0038	6.015334650577163	12.63755865044447	1.1526363382184615	2.8864857311744743
SCO0039	1.1229584675988118	0.7303158081316292	0.41744116772097645	0.2579112594446823
SCO0040	0.23458837971682708	0.4314848956236085	0.08118505794717597	0.3555561226091225
SCO0041	0.13868623418815948	0.3215394344906212	0.21393344142363482	0.5698143209600592
SCO0042	0.4491641538988692	0.43712471724257657	0.19312145304416092	0.9262700097025057
SCO0043	0.8060586073336854	2.8634935454749546	0.38987489854216517	2.627766003057856
SCO0044	0.3693141736102509	0.2267373202392535	0.22607347816271506	0.38212124188305524
SCO0045	0.0	0.2679405161667821	0.5373212017151758	0.26474404737039736
SCO0046	0.6900414246501351	0.25767354248184554	0.5954262972703677	0.2332285126339812
SCO0047	0.2354972083707257	0.4371221015302567	1.417145038109413	0.7579986353217347
SCO0048	0.44014859234337006	0.4129932296064888	0.1541860429401971	0.4133812753961889
SCO0049	0.13143073897503632	0.7904326644525863	0.16991584782953315	0.7808458613344157
SCO0050	0.31108147363083105	0.6283467509441965	0.48158800406938523	1.067655926809666
SCO0055	1.2236321969891697	0.3237651454211941	1.5404926827981162	0.15627165208313878
SCO0056	0.8927600486256774	0.6874900365648823	0.30285981292404557	0.40842639927979746
SCO0057	2.165528687786075	0.9457531912421194	2.7115620940834675	1.3619983377546359
SCO0058	0.9017259297027135	0.3249334010129586	1.2858866024678055	0.7972051052545522
SCO0059	0.8040485132385128	1.0721236917148353	0.7185530674217182	0.8517261839408656
SCO0060	3.369538164858088	1.281591331483058	3.3938673590483113	1.5645877000040758
SCO0061	0.9543444669300425	1.0967700268834715	1.1214750121459927	0.4498016185601723
SCO0062	1.8354417312805904	0.4571247056994173	1.1753878889808886	1.8222679129600678
SCO0063	0.18482874034081795	0.3686786079427268	0.4478986885677824	0.7000380581322674
SCO0064	0.18108165143679342	0.3134745329036396	0.1669982304059264	0.09592594420342578
SCO0065	0.14026829696000156	0.07401671734166596	0.08111003199205594	0.21106829919614728
SCO0066	0.22732268472035425	0.2414957640507019	0.18232203073087727	0.36478624044490593
SCO0067	0.3666053992962346	0.16382316887710174	0.05805417476221504	0.2698317279791493
SCO0068	0.026452441853908413	0.35150946985901804	0.15700107226929674	0.15518037375293825
SCO0069	0.057581933661414286	0.1372282538961322	0.22527869922225965	0.30741947975982936
SCO0070	0.18139423620377382	0.030589689952895356	0.053211795646854354	0.37116241337769235
SCO0071	0.7719593980348227	0.5496978450612237	0.7642470490342542	0.9091232634223311
SCO0072	0.16266545739422808	0.47320188049719375	0.18791532117566248	0.16163792706902114
