	Dgbn_24	Dgbn_45	WT_24	WT_45
SCO0086	0.14611965797751766	0.08521847199026858	0.05094590744902412	0.030920386280867015
SCO0087	0.09754795181132384	0.14431838389967946	0.07626186632660596	0.05847998835439147
SCO0088	0.0822673642898627	0.018413122752731752	0.061034924307780604	0.14487488992265052
SCO0089	0.045890182924519234	0.028952876586449128	0.11059951819024318	0.016787816827778287
SCO0090	0.15653858465865794	0.05679568774276473	0.016377500689615614	0.005532629274938347
SCO0091	0.016618412302556698	0.03895078576746058	0.11240507704345012	0.013735562161138538
SCO0095	0.13844308451391002	0.05196140531330576	0.04742423590655984	0.0857891117267153
SCO0096	0.0916928819959304	0.00911933841233613	0.035850560685949544	0.06018019896547124
SCO0097	0.12457675646058526	0.04068195618285475	0.12096419253039002	0.07094343915556156
SCO0098	0.06107528282471455	0.05390948524932996	0.02916275615699067	0.0702649278123993
SCO0101	0.09002730538403485	0.05896257754779407	0.07833944417625192	0.09128204093926956
SCO0102	0.09618120766225255	0.03227016716079552	0.06902628121695174	0.05179144974610269
SCO0103	0.1150156286886464	0.06029956913699654	0.06831769306371636	0.08599134754893448
SCO0104	0.05390750606911632	0.03017922196361326	0.06567743042449986	0.0824881689380512
SCO0105	0.13315192776861973	0.026000339405639943	0.08606415676658348	0.043190910609531334
SCO0106	0.07815916906815461	0.10777743811002542	0.12283532662447759	0.0828304210880591
SCO0107	0.05241995230823233	0.11918383197026428	0.17893236254459108	0.028372214255980827
SCO0108	0.1260070254330735	0.16781125896737667	0.1285289988307341	0.08647520525272205
SCO0109	0.05096967705680441	0.07309333304123504	0.030227024067033453	0.054641769519473436
SCO0110	0.029969577917761118	0.01914033058509012	0.05908479859187604	0.09823408317961088
SCO0111	0.05420610453683811	0.09098187297626789	0.10101865105322594	0.025399214869679745
SCO0112	0.1260070254330735	0.06550488753644465	0.13999476059831154	0.08709193145069515
SCO0116	0.10035402772637887	0.07343048521765469	0.05312088846918542	0.04480553783987029
SCO0117	0.05839004766133693	0.08565848311659094	0.1457860339960383	0.05172160415655349
SCO0118	0.06140723760154931	0.03980118100678106	0.03982669115844157	0.08273279918060938
SCO0119	0.12289320940287798	0.03296173128253556	0.17681694735525746	0.09133665510963968
SCO0120	0.0586077594264128	0.05363375079839334	0.13234220020748577	0.06098676798197196
SCO0121	0.06390288194430252	0.12903519728982982	0.18659790319571096	0.10773541600792759
SCO0122	0.07438215081886237	0.08699964923030723	0.12667373771225734	0.05117851244732421
SCO0123	0.08803314783891017	0.11973664770583671	0.14768681809390605	0.10491168275244038
SCO0124	0.015784598078610997	0.015625501653403238	0.27368024467151153	0.12299944177946436
SCO0125	0.032168957268097695	0.035035960713917735	0.2942510279310674	0.06628349204091448
