Geneid	C24_1	C24_2	C24_3	C45_1	C45_2	C45_3	D24_1	D24_2	D24_3	D45_1	D45_2	D45_3
SCO6137	15.112819439061099	17.158746122385267	12.819277709048176	24.522242892659328	20.843546809843534	21.246231564029106	12.4952827291496	11.116266338533741	13.610731719638865	20.32222386743237	22.414161508655774	24.829988887238013
SCO6138	2.9256092703777594	3.0974299049050114	1.7509537399282102	1.219713646813616	1.8498583950478331	0.990084129416177	1.7676536328342434	3.221851029381809	3.229142417927037	1.1180155626924375	2.1631540692166555	3.010792450546353
SCO6139	130.8777699822976	134.04466321628001	120.69990301956284	71.28897037006266	69.53325123509792	67.54800189876364	128.3616447822666	134.88291758097031	143.17801651518133	62.260150289851005	52.49885711296575	59.79531844585503
SCO6140	67.26650853199324	73.96662612913167	73.84647398147227	40.36143340365057	43.07249231416638	33.03580711818644	64.16582687188304	73.29711091843616	74.29835511160819	35.47836052277334	32.12754043671345	37.23346663842324
SCO6141	25.518747221756556	15.866237960647759	21.632118779486213	8.835338655525499	9.398966299426068	10.493578227361173	23.216943237225884	20.982104464979045	21.083373294983712	12.18259965273263	13.979318834505039	8.07371706887803
SCO6142	2.5358939641923537	3.3240711174590363	3.9049471364557498	2.290681726942645	3.474124302894711	2.1693306738021114	4.2682368207460994	5.546560613590229	2.109386775655414	4.665972809068709	4.945662962069044	2.513073373355764
SCO6143	5.501145636607752	4.542897193860682	4.815122784802578	2.1683798165575396	3.093915210430878	1.4117866289823262	5.401163878104632	3.281514937333324	2.059163280996951	5.162195314160143	3.3335562709184208	3.7820757017665607
SCO6144	38.67015848554375	35.004218377958104	34.77025505657441	24.265882026081417	26.830633120416767	24.743418286900773	47.07540727442774	39.82377443422726	36.869860431324355	28.59504599410318	35.52324682454555	31.046376187417454
SCO6145	2.661287208495059	1.4746577278500648	1.8823516645650569	1.4900515755140165	1.256007463598198	0.9756850001343826	2.307512944781874	2.66988178670994	1.7357344934058072	2.3370579340361597	2.679363155466476	2.5624138191677224
SCO6146	15.447216947594566	17.6004816996431	16.75662729111297	12.880176110351789	10.281318237739534	10.890925423577945	15.333132655099321	12.522261000863963	14.331776435738782	12.243512650996292	13.738849844833437	11.186766616252227
SCO6147	31.100510224335185	32.91703074119578	34.18852096608037	20.051044389623364	19.681322203310067	22.015784806134892	28.40058295045376	25.45954357585482	30.445146839561126	20.91113064646592	15.76271986683308	19.11945022891369
SCO6148	66.88921212548003	69.89703673443435	73.4224704544953	67.45594660707359	60.04204753397739	61.723438894197955	68.99834451234703	68.69403368590139	77.40687611386507	70.7353051718818	56.75790180397071	59.42595964466885
SCO6149	320.88617193764793	223.03520882556344	61.90122424713506	160.80279315376026	185.8878212261604	182.385906412289	536.4901023075613	336.5224863336906	381.40529251316	1139.3847902140537	1055.5361551038236	1049.030095480371
SCO6150	26.82671648312274	22.125239889765002	10.083552107923392	26.649977672220516	34.50407532714192	28.4424795755226	53.69525261245441	28.89106163655557	32.47705434191635	152.2434692873624	149.68538199902335	142.42895918250554
SCO6151	25.7612472405209	18.365937318495597	23.972616645193586	26.48148345488386	29.826818951731	28.26593122411674	31.19388763825135	21.447420087747535	28.674123977091234	78.56799562136658	72.0313707959101	67.0836043392975
SCO6152	20.23464873291373	20.14676146842564	24.494320253126162	38.39446436056775	38.18243186117037	35.19820825301279	28.01895696268937	25.68142124869558	29.813103155303683	72.00668348703175	81.6846232262229	68.9573285412573
SCO6153	21.87208544115905	21.440258707610784	19.31921214878108	31.444812797121763	30.5357241359693	28.43372704590625	20.629811300272813	19.539020343329216	20.83019440959721	36.62788655118937	39.30035746644151	35.10449368406332
SCO6154	58.58931144379965	53.12052677834026	61.98085160079636	44.10933750880955	50.31096904060096	42.8952049931203	66.23954227183461	61.227529600566584	58.172679288727174	34.73822723068801	39.191261959925285	34.71865497320843
SCO6155	38.17662514079597	36.17115734733136	37.88283347561547	140.07602989671554	157.3165561678218	154.74736605870993	37.81744347010265	37.78881900124327	34.16226310762411	191.10732418885135	191.25500074314508	174.1060260860118
SCO6156	90.21069852031329	77.56328885400372	82.28195111677348	115.76517465492763	134.9423018703314	128.36877539702536	70.34221662425679	72.0533816607704	68.99711081987579	147.41729386769435	141.42933663799127	139.59106272553512
SCO6157	833.4328616570095	868.9346626972623	920.6921676327162	386.5427158341382	382.82222978174764	392.1346725751361	640.5080490309861	625.3310326806676	631.8267005891688	269.4435002419959	268.8669367648763	269.1997118458769
SCO6158	34.780115445063686	19.331477420683758	11.832908120099955	87.68097534824692	80.7101710950209	76.32659200519345	31.717472986316565	28.151208994314814	34.50193795287445	75.70789072757015	89.57312169194148	97.09864967284064
SCO6159	86.89601616716062	79.28516197460506	68.88788801615367	91.98599561225025	100.4679911735314	86.62392995055063	74.79626357328546	77.26171227636766	61.07598534548256	65.76978169045681	74.63876960378026	78.21711579553997
SCO6160	2.7865099506033237	2.1573054513559526	2.286578407858511	2.188129507097794	1.7329273830360814	2.5220610382071205	1.9541899458469019	2.960783954764816	3.042180927704038	3.9895239872514616	4.003040193634493	3.527300535655436
SCO6161	4.532097674466847	4.193443563563707	3.889137633879006	7.618519086251203	5.997435638681395	6.45077890473463	8.076817368488774	2.2263816728676855	4.656876958562336	4.709043327306266	7.353276909537822	7.13326211360213
SCO6162	10.755688192953777	10.547876243216757	7.490190998581788	11.383994036927085	12.523380931346207	11.878480602471987	12.366802810556813	14.257616624275823	12.591665120579059	14.073003047122175	14.206261206862806	14.606637193029476
SCO6163	12.198428531701596	14.077003804660405	12.41794823449086	13.70572966287932	18.643344337348417	13.124042807579126	12.664307935240073	8.70465014955787	14.22448319109736	20.76664871930909	15.627179397064031	14.658905787181276
SCO6164	1.5897806197536164	2.2506096189768523	1.2369122749951578	1.87992562077695	1.6506703592701086	1.8651126107656422	0.3567741277280124	1.517324337996326	1.58687812480499	4.914253931019154	2.1260517058435737	3.072174559629867
SCO6165	1.6503436909823255	0.6489853134086689	0.8025204641337631	0.8131424312090775	1.1899673886272608	1.6134704331226588	1.234551743566773	0.9844544811999972	4.80471432232622	2.429268383134185	2.2990043247713245	3.4754209151368394
SCO6166	4.06238447011034	2.6957851480052404	6.7905577734395335	2.501976711412546	1.9771765841806799	1.954781486283221	3.418758674492602	4.089272460369219	3.9599293865325986	3.0833021785933887	2.8649130816381123	3.3967914826676804
